time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.37094600000000005,0.41894600000000004,0.4042532857142857,0.410018,0.015294369583803907,0.17891300000000002,0.20208099999999998,0.19585215,0.19928099999999999,0.00702347245509655,3.1920469999999996,3.708272,3.5749856,3.646864,0.16073033847702817,0.253282,0.277442,0.2692127000000001,0.2718895,0.006852618390805083,1.182469,1.379239,1.3265339999999999,1.3510620000000002,0.0607832555149854,0.178208,0.201601,0.19509674999999999,0.1973125,0.0067769089847437075,6.13238,7.1807039999999995,6.893370150000001,6.986463,0.2915325649059251,0.46717000000000003,0.509666,0.4979717000000001,0.499394,0.010613902002091398,2.6700280000000003,3.1081740000000004,2.99767105,3.0211975,0.11022556246736738,0.117088,0.119681,0.1175093,0.11724899999999999,0.0005884117690869206,32,32,4096,11008,32768,True,4096,1
0.40141000000000004,0.416546,0.41006376190476185,0.410594,0.0038760344598296405,0.19433699999999998,0.20153700000000002,0.19826175,0.19854500000000003,0.0019238806323418354,3.536723,3.6645299999999996,3.6120497500000006,3.6164335,0.03703643996238708,0.265953,0.27510500000000004,0.27106525000000004,0.271633,0.0021357065780439038,1.312199,1.3725820000000002,1.3434034000000001,1.3489345000000001,0.01651355555415011,0.193697,0.200161,0.1971002,0.197585,0.0017370806141339598,6.820289,7.093602,6.96198435,6.9913945,0.0807799349196786,0.49366699999999997,0.5056350000000001,0.5000424,0.50021,0.003257395315278764,2.9579340000000003,3.075791,3.0204309,3.0280795,0.031107363509143594,0.116833,0.11968000000000001,0.11734605000000001,0.1172325,0.000564456063392007,32,32,4096,11008,32768,True,4096,1
0.389474,0.41197000000000006,0.4044026190476191,0.40397000000000005,0.004473077458541654,0.189505,0.199105,0.19565715,0.195553,0.0020530284283224146,3.4516020000000003,3.665714,3.59860665,3.587746,0.04792655486395291,0.261281,0.27325,0.26856294999999997,0.269073,0.002418389163782374,1.27527,1.361479,1.3310308000000002,1.327031,0.0174948042646953,0.189056,0.199489,0.1954873,0.195121,0.002046246224187108,6.638816,7.0729,6.909517299999999,6.893841999999999,0.09239489763136274,0.483331,0.502306,0.49474000000000007,0.494402,0.00456735787956232,2.9001740000000003,3.0661590000000003,3.0054517000000005,3.005039,0.035508100513967224,0.11561700000000001,0.11664100000000001,0.1162085,0.1162085,0.00025712302502887415,32,32,4096,11008,32768,True,4064,1
0.39667399999999997,0.41033800000000004,0.4025435714285714,0.40128199999999997,0.003582216653087851,0.191169,0.197441,0.19452575000000003,0.194913,0.0017525941593820296,3.5255520000000002,3.664464,3.5997569500000006,3.6049925,0.03878614483095088,0.262241,0.269505,0.2662845000000001,0.2665295,0.002205539763867333,1.3005499999999999,1.350822,1.3262187500000002,1.326662,0.012897950224260471,0.19107300000000002,0.19712100000000002,0.19391295,0.194017,0.0015736335175319564,6.777151,7.048864000000001,6.900775349999998,6.877343,0.07497545233159654,0.485282,0.49773,0.4916004500000001,0.490402,0.003255153582782231,2.9618360000000004,3.0924300000000002,3.0137944000000005,2.9977099999999997,0.03499309614824052,0.114657,0.117953,0.1153028,0.115168,0.0006673881629157055,32,32,4096,11008,32768,True,4032,1
0.38653,0.40512200000000004,0.3976294285714286,0.397378,0.004384798378070144,0.18665700000000002,0.195585,0.19212574999999998,0.192017,0.0019115896755057039,3.4495839999999998,3.6567529999999997,3.5833931999999997,3.5783215000000004,0.04638964050367277,0.257698,0.269441,0.26437415,0.264641,0.0025459780492965802,1.2675260000000002,1.347622,1.31919195,1.316694,0.017556962702799727,0.18646500000000002,0.19516999999999998,0.19168425,0.1915855,0.0018463921813905014,6.6097600000000005,7.026722000000001,6.851396199999999,6.850384999999999,0.0981598945407951,0.476195,0.493699,0.4867014000000001,0.48653,0.004069266843056618,2.883246,3.070959,2.9946848000000004,2.992958,0.041384270119938095,0.114016,0.114593,0.11433180000000003,0.11433700000000001,0.00013377802510128453,32,32,4096,11008,32768,True,4000,1
0.39107400000000003,0.405441,0.39876314285714287,0.39821,0.003935210786218799,0.190145,0.196384,0.193052,0.193217,0.0017256421413491259,3.760274,3.910131,3.8324009000000006,3.8287060000000004,0.045749980331033974,0.258274,0.26678500000000005,0.26284935000000004,0.2630255,0.0027441219046354455,1.2880060000000002,1.342215,1.3100497500000001,1.3077185,0.015532928184585763,0.18931299999999998,0.19577699999999998,0.19221059999999998,0.192529,0.001938721393083596,6.691009,6.962753,6.789511449999999,6.785505000000001,0.08156062067779697,0.481283,0.493154,0.4864855,0.48625850000000004,0.0033687748589064197,2.987375,3.0990230000000003,3.0336852999999993,3.0279825000000002,0.03171088084254367,0.11318399999999999,0.11382500000000001,0.11343100000000002,0.113424,0.0001601486809187033,32,32,4096,11008,32768,True,3968,1
0.387041,0.402275,0.3955280952380953,0.395938,0.003650932756287045,0.186945,0.193889,0.19125695000000004,0.191409,0.0018972601422841333,3.711795,3.855988,3.8106351,3.8040665000000002,0.043666332389954716,0.257505,0.264706,0.26120285,0.261857,0.002098845784592092,1.26951,1.3233990000000002,1.30534725,1.304663,0.014628500486635679,0.185985,0.192833,0.1900729,0.19020900000000002,0.0018532717258945013,6.5918410000000005,6.856578,6.756534750000002,6.767618000000001,0.0776812251112678,0.47517000000000004,0.486722,0.48130955000000003,0.48181050000000003,0.0036380631862984493,2.9678869999999997,3.0816470000000002,3.02416235,3.0229429999999997,0.0354960037909552,0.111425,0.11244799999999999,0.11201505,0.1120005,0.00022231092528258542,32,32,4096,11008,32768,True,3936,1
0.38253,0.397186,0.3913069999999999,0.391394,0.004034733212399315,0.186177,0.191873,0.18975124999999998,0.189969,0.0016740555509002666,3.688914,3.8444670000000003,3.7919241,3.794019,0.04647079732681596,0.25357,0.26105700000000004,0.25781595,0.2581615,0.002085161731736892,1.267141,1.317511,1.2969618500000002,1.3004385,0.015793918314576067,0.185121,0.19119999999999998,0.18867775,0.18921700000000002,0.0017428519120969478,6.576929,6.836321999999999,6.7234174499999995,6.7449615000000005,0.08284589507481639,0.47132999999999997,0.482275,0.47737685,0.478146,0.003379797734702481,2.947215,3.0808470000000003,3.0241029999999998,3.025487,0.03793349899099748,0.11087999999999999,0.113089,0.11146765,0.11140800000000001,0.00045390651845947177,32,32,4096,11008,32768,True,3904,1
0.38237,0.396002,0.38860085714285714,0.389666,0.0037500076226679975,0.185953,0.19017699999999998,0.18793054999999997,0.1880165,0.001247363959516227,3.7254590000000003,3.8314760000000003,3.773270299999999,3.7751390000000002,0.03732423408738613,0.25325000000000003,0.25865699999999997,0.25507650000000004,0.2544815,0.0016515004238570428,1.2807430000000002,1.316807,1.29492635,1.2967745,0.011971362814128587,0.184929,0.189537,0.18680409999999997,0.1864965,0.0015495455753220019,6.632001000000001,6.820129999999999,6.70542765,6.692658000000001,0.0661776120635027,0.469794,0.478051,0.47304545,0.4728985,0.0028916485864468496,2.9844310000000003,3.0732960000000005,3.0201466000000003,3.021935,0.02842311854001949,0.109856,0.110753,0.11016205000000001,0.1101445,0.00020608601966169357,32,32,4096,11008,32768,True,3872,1
0.383906,0.392866,0.38703885714285713,0.38611399999999996,0.0024582169551606806,0.186017,0.189057,0.1875305,0.187137,0.000988949872339341,3.687443,3.7796350000000003,3.71831475,3.7216185,0.02503761271741981,0.252289,0.257985,0.25497410000000004,0.254913,0.0012886376876376099,1.268999,1.293415,1.2794354000000001,1.2775105,0.008239062097107886,0.185121,0.188577,0.18661365000000002,0.18654500000000002,0.0009249965553989891,6.559971,6.728738000000001,6.603470199999999,6.569153,0.048593524566139565,0.469826,0.47564999999999996,0.47192069999999997,0.4712025,0.0018098756338489042,2.864622,2.9204300000000005,2.8843968500000003,2.876767,0.018098216291322824,0.108961,0.109697,0.10932220000000001,0.1093125,0.00020428744454811836,32,32,4096,11008,32768,True,3840,1
