time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0038719999999998434,0.003967999999999961,0.003916599999999949,0.003935000000000059,3.8301958174518744e-05,0.0160630000000001,0.016320999999999912,0.016211199999999988,0.016255999999999972,9.8840072844936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,0,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003872000000000071,0.003967999999999961,0.003910400000000027,0.0039039999999999964,3.7318092126973684e-05,0.020063999999999964,0.0201579999999999,0.020121199999999933,0.02012799999999993,3.087005021050039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,64,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004127000000000066,0.004192000000000007,0.004166200000000027,0.004160000000000082,2.4268498099367127e-05,0.04489599999999996,0.045216000000000124,0.04507540000000001,0.04508900000000006,0.00010428537769030131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,128,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0038719999999999575,0.003968000000000075,0.003916800000000013,0.0039039999999999964,3.2633724887033724e-05,0.04499200000000019,0.045152000000000046,0.04506200000000006,0.04505700000000002,5.522680508592118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,192,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004063999999999964,0.004160000000000082,0.004127999999999997,0.004159999999999968,4.0477154050168854e-05,0.04601800000000003,0.046307000000000015,0.04620180000000005,0.046242000000000075,0.00010237655981719904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,256,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0038410000000000085,0.003966999999999984,0.0039039999999999735,0.0039039999999999964,4.4690043633889444e-05,0.04662600000000009,0.04688100000000009,0.046791000000000006,0.04684699999999987,0.00010158936952256617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,320,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004096000000000004,0.004192000000000007,0.0041407999999999905,0.004159999999999968,3.83999999999937e-05,0.05244900000000007,0.05292999999999984,0.052698399999999944,0.05270399999999995,0.00015748599937764714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,384,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0038719999999999575,0.003968000000000075,0.003923199999999997,0.0039039999999999964,3.840000000002042e-05,0.052802999999999996,0.053249000000000025,0.05301859999999995,0.05299099999999999,0.00018703432839989507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,448,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004096000000000004,0.004192000000000007,0.004160000000000036,0.004160000000000082,3.50542436803318e-05,0.05408199999999988,0.054688000000000105,0.054369,0.05433800000000008,0.00019356445954778136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,512,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003872000000000071,0.003966999999999984,0.0039166000000000175,0.0039039999999999964,3.232089107680558e-05,0.054751999999999953,0.055105999999999884,0.05489219999999996,0.05484899999999993,0.0001227866442248157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,576,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004127000000000066,0.004192000000000007,0.004159800000000042,0.004160000000000082,2.884718357134327e-05,0.055072,0.055616999999999965,0.05541879999999997,0.05545599999999991,0.0001852861570652196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,640,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0039029999999999065,0.003967999999999961,0.0039229999999999795,0.0039039999999999964,2.5752669764517396e-05,0.054976000000000115,0.05584100000000024,0.0553794000000001,0.05523400000000015,0.0003261353093426265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,704,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004128000000000043,0.004192000000000007,0.004153800000000001,0.004159999999999968,2.4003333101862832e-05,0.05667200000000014,0.057184999999999944,0.056908400000000026,0.05682999999999993,0.00017814219039849878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,768,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.00390400000000011,0.004,0.003955199999999991,0.003967999999999961,3.263372488696237e-05,0.056768000000000034,0.05727599999999995,0.057030199999999996,0.057086999999999874,0.00017793077305511357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,832,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0041279999999999295,0.004192000000000007,0.004160200000000009,0.004160000000000082,2.0242529486233098e-05,0.06355000000000006,0.06387199999999996,0.06367340000000003,0.06358500000000016,0.00013845808029863793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,896,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003936000000000036,0.003968000000000075,0.003961400000000004,0.003967999999999961,1.270590413939887e-05,0.06284799999999972,0.063168,0.06303979999999992,0.06310399999999992,0.00012326297091997572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,960,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004158999999999992,0.004192000000000007,0.004178799999999978,0.004190999999999917,1.5765785740012323e-05,0.06326600000000007,0.06371199999999999,0.06347539999999997,0.0634229999999999,0.00018794637533082513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1024,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0039039999999999964,0.003968000000000075,0.003929600000000028,0.003936000000000036,2.3946607275382552e-05,0.06291099999999994,0.06339200000000006,0.06318080000000001,0.06326400000000001,0.00016926121823977142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1088,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004160000000000082,0.004192000000000007,0.004179199999999991,0.004191000000000031,1.5276125163123468e-05,0.06406399999999997,0.06483200000000011,0.06451200000000004,0.06448100000000011,0.0002677558589461763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1152,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004224000000000046,0.004384000000000015,0.004275200000000018,0.004255999999999972,5.579390647731587e-05,0.06275099999999986,0.06313800000000004,0.06295039999999999,0.0630089999999999,0.00014461756463173055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1216,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.00441599999999994,0.004608000000000061,0.004460800000000017,0.0044160000000000536,7.463618425403891e-05,0.06332800000000009,0.06390599999999995,0.06364339999999999,0.06364800000000002,0.00019655187610394758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1280,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003935999999999922,0.003968000000000075,0.003955400000000009,0.003967999999999961,1.5435025105294634e-05,0.07033499999999993,0.07059199999999988,0.07044679999999999,0.07039999999999998,0.00011184167380720316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1344,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004158999999999992,0.004192000000000007,0.004166200000000004,0.004159999999999968,1.2905812643923397e-05,0.070495,0.07094600000000015,0.07065040000000004,0.07059199999999999,0.00015659450820516737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1408,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0039039999999999964,0.003935999999999922,0.003922999999999957,0.0039349999999999455,1.5517731792983894e-05,0.07039999999999987,0.07078100000000007,0.0706096,0.07062400000000002,0.0001371139671952224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1472,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0041279999999999295,0.004192000000000007,0.0041471999999999985,0.004128000000000043,2.5600000000025474e-05,0.07055899999999997,0.07062500000000001,0.07060459999999999,0.07062199999999985,2.5973832986279695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1536,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0039039999999999964,0.003968999999999937,0.003942599999999994,0.003936000000000036,2.416278129683761e-05,0.07100699999999995,0.07132899999999995,0.07118499999999997,0.07119799999999998,0.00012083873551145144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1600,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004160999999999944,0.004223999999999933,0.004192199999999981,0.004192000000000007,1.9923855048655552e-05,0.07030499999999995,0.07084799999999984,0.07057219999999993,0.07052999999999986,0.00019986735601389637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1664,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003935999999999922,0.003967999999999961,0.003948799999999983,0.003936000000000036,1.567673435379431e-05,0.07052800000000002,0.07081600000000003,0.07070100000000006,0.07069100000000014,9.998399871981695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1728,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.00441599999999994,0.004543999999999983,0.004454600000000005,0.0044160000000000536,5.130146196745864e-05,0.07711800000000005,0.07740800000000002,0.07727260000000004,0.07730999999999995,9.869062772116481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1792,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004288000000000011,0.004447999999999979,0.004338999999999987,0.004319999999999937,5.5864120864820416e-05,0.07756900000000007,0.07782400000000007,0.07767180000000004,0.07766600000000005,9.683470452270889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1856,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0044160000000000536,0.004543999999999983,0.004467200000000002,0.004447999999999979,5.199384578963592e-05,0.07682199999999989,0.07776199999999983,0.07733579999999993,0.07721699999999998,0.0003407370833942271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1920,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004255999999999972,0.00432000000000005,0.004294399999999997,0.004288000000000011,2.3946607275358347e-05,0.07750000000000011,0.07811300000000006,0.07780480000000002,0.07782400000000007,0.00019519159817982598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,1984,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003969000000000051,0.004033000000000016,0.004006600000000003,0.004,2.3635566420099016e-05,0.07750400000000002,0.07812099999999998,0.07776799999999998,0.07772900000000005,0.00020093680598634822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,64,2048,True,AttentionBackend.FLASHINFER
